name,code,value_code,value_name,Unnamed: 4,Unnamed: 5
need,0,,,,
neutral,0,,,,
never,0,,,,
new,0,,,,
next,0,,,,
nice,0,,,,
night,0,,,,
normal,0,,,,
not important,0,,,,
ocean,0,,,,
one,0,,,,
open,0,,,,
options,0,,,,
order,0,,,,
perfect,0,,,,
philosophy,0,,,,
place,0,,,,
places,0,,,,
pretty,0,,,,
quality,0,,,,
quick,0,,,,
really,0,,,,
reasonable,0,,,,
recommend,0,,,,
regular,0,,,,
right,0,,,,
room,0,,,,
said,0,,,,
sale,0,,,,
say,0,,,,
seated,0,,,,
see,0,,,,
select,0,,,,
served,0,,,,
Service,0,,,,
side,0,,,,
since,0,,,,
skills,0,,,,
sky,0,,,,
slow,0,,,,
small,0,,,,
someone ,0,,,,
something,0,,,,
so-so,0,,,,
sources,0,,,,
speak,0,,,,
special,0,,,,
spot,0,,,,
state,0,,,,
status,0,,,,
still,0,,,,
stop,0,,,,
study,0,,,,
stuff,0,,,,
summer,0,,,,
sure,0,,,,
table,0,,,,
tables,0,,,,
take,0,,,,
task,0,,,,
taste,0,,,,
tasted,0,,,,
tasty,0,,,,
theoretical,0,,,,
thing,0,,,,
things,0,,,,
think,0,,,,
thought,0,,,,
told,0,,,,
took,0,,,,
top,0,,,,
town,0,,,,
tried,0,,,,
try,0,,,,
two,0,,,,
typical,0,,,,
understanding,0,,,,
visit,0,,,,
want,0,,,,
way,0,,,,
well,0,,,,
went,0,,,,
whatever,0,,,,
why,0,,,,
winter,0,,,,
wonderful,0,,,,
work,0,,,,
years,0,,,,
menu,-1,,,,
specialty,-1,,,,
specialty food,-1,,,,
mashrooms,-1,,,,
nuts,-1,,,,
almonds,-1,,,,
bread,-1,,,,
burrito,-1,,,,
egg,-1,,,,
eggs,-1,,,,
rice,-1,,,,
seafood,-1,,,,
dessert,-1,,,,
fries,-1,,,,
fried,-1,,,,
kosher,-1,,,,
halal,-1,,,,
noddles,-1,,,,
pie,-1,,,,
sandwitch,-1,,,,
snack,-1,,,,
soup,-1,,,,
salad,-1,,,,
sauce,-1,,,,
cheese,-1,,,,
chicken,-1,,,,
burger,-1,,,,
meat,-1,,,,
pork,-1,,,,
tacos,-1,,,,
sweet,-1,,,,
cooked,-1,,,,
beef,-1,,,,
spicy,-1,,,,
steak,-1,,,,
shrimp,-1,,,,
wings,-1,,,,
pork,-1,,,,
ham,-1,,,,
appetizer,-1,,,,
potatoes,-1,,,,
ice,-1,,,,
ice cream,-1,,,,
crispy,-1,,,,
corn,-1,,,,
chips,-1,,,,
fish,-1,,,,
salmon,-1,,,,
tortilla,-1,,,,
empanadas,-1,,,,
BBQ,-1,,,,
barbecue,-1,,,,
vanilla,-1,,,,
chocolate,-1,,,,
sausage,-1,,,,
toppings,-1,,,,
ramen,-1,,,,
toast,-1,,,,
roll,-1,,,,
grilled,-1,,,,
salsa,-1,,,,
pasta,-1,,,,
noodles,-1,,,,
lamb,-1,,,,
salty,-1,,,,
onion,-1,,,,
crab,-1,,,,
tomato,-1,,,,
pancakes,-1,,,,
bowl,-1,,,,
waffle,-1,,,,
quesadilla,-1,,,,
Strawberry,-1,,,,
shake,-1,,,,
milkshake,-1,,,,
roast,-1,,,,
cheeseburger,-1,,,,
pita,-1,,,,
chawarma,-1,,,,
shawarma,-1,,,,
poulet,-1,,,,
falafel,-1,,,,
cake,-1,,,,
doner,-1,,,,
kebab,-1,,,,
bacon,-1,,,,
buffalo,-1,,,,
mozzarella,-1,,,,
nachos,-1,,,,
caramel,-1,,,,
blueberry ,-1,,,,
berry,-1,,,,
avocado ,-1,,,,
tikka ,-1,,,,
fettuccine,-1,,,,
spaghetti,-1,,,,
penne,-1,,,,
lasagne,-1,,,,
tortellini,-1,,,,
ravioli,-1,,,,
cannelloni,-1,,,,
sushi,-1,,,,
tempura,-1,,,,
near,-2,,,,
nearest,-2,,,,
far,-2,,,,
distance,-2,,,,
mile,-2,,,,
miles,-2,,,,
km,-2,,,,
kilometer,-2,,,,
distant,-2,,,,
far-off,-2,,,,
faraway,-2,,,,
nearby,-2,,,,
neighboring,-2,,,,
neighborhood,-2,,,,
adjacent,-2,,,,
area,-2,,,,
close-by,-2,,,,
closest,-2,,,,
close,-2,,,,
very close,-2,,,,
close to me,-2,,,,
around,-2,,,,
next door,-2,,,,
beside,-2,,,,
block,-2,,,,
district,-2,,,,
city,-2,,,,
region,-2,,,,
territory,-2,,,,
radius,-2,,,,
away,-2,,,,
service,-3,,,,
friendly,-3,,,,
atmosphere,-3,,,,
waiters,-3,,,,
stuff,-3,,,,
crew,-3,,,,
speed,-3,,,,
speedy,-3,,,,
quick,-3,,,,
fast,-3,,,,
slow,-3,,,,
rapid,-3,,,,
swift,-3,,,,
immediate,-3,,,,
agile,-3,,,,
amiable,-3,,,,
amicable,-3,,,,
cordial,-3,,,,
helpful,-3,,,,
welcoming,-3,,,,
kind,-3,,,,
professional,-3,,,,
tolerant,-3,,,,
competent,-3,,,,
efficient,-3,,,,
experienced,-3,,,,
qualified,-3,,,,
ambience,-3,,,,
feeling,-3,,,,
trendy,-3,,,,
modern,-3,,,,
classic,-3,,,,
classical,-3,,,,
view,-4,,,,
outlook,-4,,,,
panorama,-4,,,,
scene,-4,,,,
scenery,-4,,,,
vista,-4,,,,
sight,-4,,,,
landscape,-4,,,,
riverscape,-4,,,,
cityscape,-4,,,,
townscape,-4,,,,
lookout,-4,,,,
watch,-4,,,,
river,-4,,,,
lake,-4,,,,
waterfront,-4,,,,
boardwalk,-4,,,,
accepts,-5,,,,
credit,-5,,,,
checks,-5,,,,
bitcoin,-5,,,,
Walmart,-5,,,,
Apple,-5,,,,
Android,-5,,,,
Samsung,-5,,,,
Google,-5,,,,
Digital,-5,,,,
Mobile,-5,,,,
dietary,-6,,,,
diet,-6,,,,
sugar,-6,,,,
gluten,-6,,,,
restrictions,-6,,,,
health,-6,,,,
calories,-6,,,,
Smoking,-7,,,,
smoke,-7,,,,
cigarette,-7,,,,
cigarettes,-7,,,,
cigar,-7,,,,
cigars,-7,,,,
pipe,-7,,,,
weed,-7,,,,
hookah,-7,,,,
dogs,-8,,,,
dog,-8,,,,
cats,-8,,,,
cat,-8,,,,
animal,-8,,,,
animals,-8,,,,
pet,-8,,,,
pets,-8,,,,
show,-9,,,,
performing,-9,,,,
performance,-9,,,,
production,-9,,,,
band,-9,,,,
play,-9,,,,
playing,-9,,,,
plays,-9,,,,
music,-9,,,,
musical,-9,,,,
dancing,-9,,,,
dance,-9,,,,
karaoke,-9,,,,
sing,-9,,,,
singing,-9,,,,
singer,-9,,,,
concert,-9,,,,
artistic,-9,,,,
program,-9,,,,
programme,-9,,,,
TV,-9,,,,
television,-9,,,,
screen,-9,,,,
game,-9,,,,
games,-9,,,,
sale,-10,,,,
happyhour,-10,,,,
happyHour,-10,,,,
deal,-10,,,,
promotion,-10,,,,
promotions,-10,,,,
discount,-10,,,,
discounts,-10,,,,
reduction,-10,,,,
accessed,-11,,,,
accessing,-11,,,,
free access,-11,,,,
accessible,-11,,,,
accessibility ,-11,,,,
access,-11,,,,
approacability,-11,,,,
reachability,-11,,,,
disabled,-11,,,,
disability,-11,,,,
disabilities,-11,,,,
wheelchair,-11,,,,
wheel,-11,,,,
dandicapped,-11,,,,
